feature,center,scale
electronegativity,2.534332414336353,0.418349603246639
element_C,0.4915320992516739,0.49996110935959437
element_Cl,1.312852829197847e-4,0.011457979006778845
element_F,0.047525272416962056,0.21277350521175592
element_H,0.3631350925561245,0.4809348845544774
element_Ir,0.013259813574898255,0.11439278333815335
element_N,0.056977812787186555,0.2318154367115982
element_O,0.022843639228042535,0.14941465217455535
element_P,9.189969804384928e-4,0.03030301933333556
element_S,0.0036759879217539712,0.06052235889948654
group_1,0.3631350925561245,0.4809348845544774
group_14,0.4915320992516739,0.49996110935959437
group_15,0.05789680976762505,0.23356354820917255
group_16,0.02651962714979651,0.16068517752332137
group_17,0.04765655769988184,0.21305250392064629
group_9,0.013259813574898255,0.11439278333815335
period_1,0.3631350925561245,0.4809348845544774
period_2,0.618878823683865,0.485694137621224
period_3,0.004726270185112249,0.06858972367237474
period_6,0.013259813574898255,0.11439278333815335
van_der_waals_radius,149.95523171852435,23.78071248941469
