halide_identifier,halide_SMILES
H1,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
H2,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
H3,C1=CC(=CC=C1CC(C(=O)O)N)Cl
H4,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
H5,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
H6,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
H7,C1=CC(=C(C=C1CC(C(=O)O)N)I)O
H8,C1=CC(=CC=C1C(CN)(CS(=O)(=O)O)O)Cl
H9,C1=CC(=CC=C1C(CN)CP(=O)(O)O)Cl
H10,CCN(C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N)C(C)C
H11,CC(C)CN(C)C1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N
H12,C1CCCN(CC1)C2=NC(=C(N=C2Cl)C(=O)N=C(N)N)N
H13,C1C(C(OC1N2C=C(C(=O)NC2=O)Br)CO)O
H14,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
H15,C1=CC(=CC=C1CC(C(=O)O)N)F
H16,C1=C(C(=O)NC(=O)N1)F
H17,CC1C(C(C(O1)N2C=C(C(=O)NC2=O)F)O)O
H18,CC1C(=O)NC2=NC3=C(CN12)C(=CC=C3)Cl
H19,CCCCCC(=O)C1=C(C(=C(C=C1O)OC)Cl)O
H20,CCOC(=O)C1=C(OC2=C(C1C(C#N)C(=O)OCC)C=C(C=C2)Br)N
H21,COC1=CC(=C(C=C1C(=O)OCCN2CCCCC2)Cl)N
H22,COP(=O)(C(C1=CC=C(C=C1)Cl)OP(=O)(OC)OC)OC
H23,C1=CC(=C(C=C1C(=O)O)N)Cl
H24,C1=CC(=C(C=C1C(F)(F)F)N)Cl
H25,C1=CC(=CC=C1N)Br
H26,C1=CC(=CC(=C1)I)CN
H27,C1=CC(=CC(=C1)Br)O
